"n","seed","K","ok","n_starts_ok","LL","n_par","AIC","BIC","min_class_share","hessian_ok","secs","usable","verdict","problems"
50,17,3,TRUE,8,-160.311127361959,14,348.622254723919,406.15172088262,0.158316962923935,TRUE,9.88234400749207,TRUE,"ok",""
50,18,1,TRUE,1,-218.268539785553,4,444.537079571105,460.974069902163,1,TRUE,0.344099998474121,TRUE,"ok",""
50,18,2,TRUE,8,-197.085120984229,9,412.170241968459,449.153470213338,0.372232833458407,TRUE,5.96853804588318,FALSE,"WRONG SIGN","wrong_sign"
50,18,3,TRUE,7,-176.105042062115,14,380.210084124231,437.739550282932,0.214125349188041,TRUE,9.06869006156921,FALSE,"WRONG SIGN","wrong_sign"
50,19,1,TRUE,1,-206.176669380597,4,420.353338761194,436.790329092251,1,TRUE,0.307149171829224,TRUE,"ok",""
50,19,2,TRUE,8,-176.984123507579,9,371.968247015157,408.951475260036,0.484020087721918,TRUE,5.91972494125366,TRUE,"ok",""
50,19,3,TRUE,8,-162.342877095626,14,352.685754191252,410.215220349953,0.125560923331392,TRUE,8.40957713127136,FALSE,"WRONG SIGN","wrong_sign"
50,20,1,TRUE,1,-214.678951253767,4,437.357902507533,453.794892838591,1,TRUE,0.312631130218506,TRUE,"ok",""
50,20,2,TRUE,8,-200.828872142945,9,419.657744285891,456.64097253077,0.120189256698395,TRUE,5.80562305450439,FALSE,"WRONG SIGN","wrong_sign"
50,20,3,TRUE,8,-185.012026413913,14,398.024052827826,455.553518986527,0.198283111143142,TRUE,11.1349020004272,TRUE,"ok",""
30,1,1,TRUE,1,-124.679401688833,4,257.358803377665,271.752491213659,1,TRUE,0.333223104476929,TRUE,"ok",""
30,1,2,TRUE,8,-105.913860520021,9,229.827721040041,262.213518671027,0.217563052421315,TRUE,5.51339793205261,FALSE,"WRONG SIGN","wrong_sign"
30,1,3,TRUE,8,-97.5358084307428,14,223.071616861486,273.449524287463,0.108020763542793,TRUE,10.698098897934,FALSE,"WRONG SIGN","wrong_sign"
30,2,1,TRUE,1,-129.75015491309,4,267.500309826181,281.893997662174,1,TRUE,0.306019067764282,TRUE,"ok",""
30,2,2,TRUE,8,-116.196133302559,9,250.392266605119,282.778064236104,0.388355997910974,TRUE,4.76277995109558,TRUE,"ok",""
30,2,3,TRUE,8,-106.180779957854,14,240.361559915709,290.739467341686,0.177467035498115,TRUE,8.29498195648193,FALSE,"WRONG SIGN","wrong_sign"
30,3,1,TRUE,1,-114.437224490499,4,236.874448980997,251.268136816991,1,TRUE,0.224636077880859,TRUE,"ok",""
30,3,2,TRUE,8,-97.4718840513889,9,212.943768102778,245.329565733763,0.24515210012981,TRUE,4.74041795730591,TRUE,"ok",""
30,3,3,TRUE,8,-86.9560384472622,14,201.912076894524,252.289984320502,0.221032650280678,FALSE,8.5079550743103,FALSE,"NO COVARIANCE","no_covariance"
30,4,1,TRUE,1,-104.612699115379,4,217.225398230759,231.619086066752,1,TRUE,0.21253490447998,TRUE,"ok",""
30,4,2,TRUE,8,-92.4025833111278,9,202.805166622256,235.190964253241,0.315581341462275,FALSE,5.92388582229614,FALSE,"NO COVARIANCE","no_covariance"
30,4,3,TRUE,8,-83.4193344335447,14,194.838668867089,245.216576293067,0.234725121071382,FALSE,11.3740229606628,FALSE,"NO COVARIANCE","no_covariance"
30,5,1,TRUE,1,-99.6953725297838,4,207.390745059568,221.784432895561,1,TRUE,0.247225999832153,TRUE,"ok",""
30,5,2,TRUE,8,-87.9517063004636,9,193.903412600927,226.289210231913,0.33544024025089,TRUE,5.42846298217773,TRUE,"ok",""
30,5,3,TRUE,8,-80.021767591894,14,188.043535183788,238.421442609765,0.239686869607234,TRUE,11.1829440593719,FALSE,"WRONG SIGN","wrong_sign"
30,6,1,TRUE,1,-119.276765944862,4,246.553531889724,260.947219725717,1,TRUE,0.297837972640991,TRUE,"ok",""
30,6,2,TRUE,8,-96.2038688680944,9,210.407737736189,242.793535367174,0.20211472373021,TRUE,5.97950506210327,FALSE,"WRONG SIGN","wrong_sign"
